title,rating,ratingLevel,ratingDescription,release_year,user_rating_score,user_rating_size
Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80
The Nightmare Before Christmas,PG,some scary images,60,1993,84,80
Scooby-Doo,PG,some rude humor language and some scary action,60,2002,86,80
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
Teenage Mutant Ninja Turtles,PG,animated action violence some scary cartoon images and mild language,60,2007,NA,82
Star Wars: The Clone Wars,PG,sci-fi action violence throughout brief language and momentary smoking,60,2008,57,80
Coraline,PG,thematic elements scary images some language and suggestive humor,60,2009,95,80
The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,NA,82
We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,NA,82
Thomas & Friends: Thomas & the Runaway Kite,TV-Y,Suitable for all ages.,10,2010,NA,82
Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,NA,82
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,Suitable for all ages.,10,2010,NA,82
Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93,80
Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89,80
The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77,80
Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66,80
Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,NA,82
Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73,80
Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,71,80
The Super Mario Bros. Super Show!,TV-Y7,Suitable for children ages 7 and older,41,1989,NA,82
Power Rangers Zeo,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1996,NA,82
Oscar's Oasis,TV-G,Suitable for all ages.,35,2011,NA,82
Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,NA,82
The Adventures of Chuck & Friends,TV-Y,Suitable for all ages.,10,2011,NA,82
Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
Thomas & Friends: King of the Railway,TV-G,Suitable for all ages.,35,2013,NA,82
LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,NA,82
Max Steel,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2014,NA,82
Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,NA,82
Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,60,2014,NA,82
VeggieTales in the House,TV-Y,Suitable for all ages.,10,2016,NA,82
Thunder and the House Of Magic,TV-G,Suitable for all ages.,35,2013,NA,82
All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71,80
Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,82
Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,NA,82
Slugterra: Slug Fu Showdown,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,NA,82
Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,NA,82
Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83,80
Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,NA,82
Bunks,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,NA,82
The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,80
The Angry Birds Movie,PG,for rude humor and action,60,2016,92,80
The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,NA,82
Marvel's Hulk: Where Monsters Dwell,PG,action violence throughout some scary images and language,60,2016,NA,82
Angry Birds,TV-G,Suitable for all ages.,35,2013,NA,82
Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61,80
Nexo Knights,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,NA,82
The Nightmare Before Christmas,PG,some scary images,60,1993,84,80
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67,80
Scooby-Doo,PG,some rude humor language and some scary action,60,2002,86,80
The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
Star Wars: The Clone Wars,PG,sci-fi action violence throughout brief language and momentary smoking,60,2008,57,80
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77,80
Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66,80
Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,NA,82
The Cat in the Hat Knows a Lot About That!,TV-Y,Suitable for all ages.,10,2014,NA,82
Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73,80
Bob the Builder,TV-Y,Suitable for all ages.,10,2015,NA,82
Beyblade: Metal Fusion,TV-Y7,Suitable for children ages 7 and older,41,2009,NA,82
Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1997,NA,82
Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,NA,82
DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,NA,82
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,67,80
Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88,80
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2011,NA,82
Super Buddies,G,General Audiences. Suitable for all ages.,35,2013,NA,82
Tad: The Lost Explorer,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,NA,82
PokÌ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74,80
Ratchet and Clank,PG,action and some rude humor,60,2016,74,80
Pac-Man and the Ghostly Adventures,TV-Y7,Suitable for children ages 7 and older,41,2014,NA,82
Iron Man & Captain America: Heroes United,PG,action and violence throughout and mild language,60,2014,NA,82
Power Rangers Super Megaforce,TV-Y7,Suitable for children ages 7 and older,41,2014,NA,82
Chuggington,TV-Y,Suitable for all ages.,10,2015,NA,82
All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71,80
The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78,80
Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,82
Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,NA,82
Some Assembly Required,TV-G,Suitable for all ages.,35,2015,NA,82
Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
Kulipari: An Army of Frogs,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,82
Transformers: Robots in Disguise,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
Robocar Poli,TV-Y,Suitable for all ages.,10,2012,NA,82
LEGO Bionicle: The Journey to One,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,82
Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,NA,82
Voltron: Legendary Defender,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83,80
Buddy Thunderstruck,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,NA,82
Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,NA,82
PokÌ©mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56,80
Power Rangers Dino Super Charge,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
The Deep,TV-Y7,Suitable for children ages 7 and older,41,2015,NA,82
Skylanders Academy,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
Marvel's Hulk: Where Monsters Dwell,PG,action violence throughout some scary images and language,60,2016,NA,82
Growing Up Wild,G,,35,2016,80,80
The Little Rascals,PG,some rude dialogue,60,1994,86,80
Flubber,PG,slapstick action and mild language,60,1997,83,80
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
Scooby-Doo,PG,some rude humor language and some scary action,60,2002,86,80
Lilo & Stitch,PG,mild sci-fi action,60,2002,95,80
Scooby-Doo 2: Monsters Unleashed,PG,some scary action rude humor and language,60,2004,82,80
The Three Musketeers,G,General Audiences. Suitable for all ages.,35,2004,NA,82
Mickey's Twice Upon a Christmas,G,General Audiences. Suitable for all ages.,35,2004,NA,82
The Pacifier,PG,action violence language and rude humor,60,2005,91,80
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
Teenage Mutant Ninja Turtles,PG,animated action violence some scary cartoon images and mild language,60,2007,NA,82
Bee Movie,PG,mild suggestive humor,60,2007,94,80
Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
Coraline,PG,thematic elements scary images some language and suggestive humor,60,2009,95,80
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89,80
Super Why!,TV-Y,Suitable for all ages.,10,2015,68,80
Jessie,TV-G,Suitable for all ages.,35,2015,88,80
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,NA,82
Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85,80
Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80
Pocoyo,TV-Y,Suitable for all ages.,10,2007,67,80
Home,PG,mild action and some rude humor,60,2015,94,80
Chuggington,TV-Y,Suitable for all ages.,10,2015,NA,82
Octonauts,TV-Y,Suitable for all ages.,10,2015,NA,82
Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88,80
Mother Goose Club,TV-Y,Suitable for all ages.,10,2016,NA,82
Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70,80
Hotel Transylvania 2,PG,some scary images action and rude humor,60,2015,93,80
Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72,80
Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
Goosebumps,PG,scary and intense creature action and images and for some rude humor,60,2015,90,80
Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92,80
Zootopia,PG,some thematic elements rude humor and action,60,2016,97,80
The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,80
Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,NA,82
Open Season: Scared Silly,PG,rude humor and some action,60,2015,72,80
The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,NA,82
The Angry Birds Movie,PG,for rude humor and action,60,2016,92,80
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,80
Finding Dory,PG,mild thematic elements,60,2016,98,80
The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
Ask the StoryBots,TV-Y,Suitable for all ages.,10,2016,NA,82
The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,NA,82
Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77,80
Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,NA,82
Angry Birds,TV-G,Suitable for all ages.,35,2013,NA,82
Tayo the Little Bus,TV-Y,Suitable for all ages.,10,2014,NA,82
Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61,80
The Little Rascals,PG,some rude dialogue,60,1994,86,80
Antz,PG,moderate adult language and intense action,60,1998,80,80
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67,80
Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80,80
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
Lilo & Stitch,PG,mild sci-fi action,60,2002,95,80
Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64,80
Annie,PG,adult content and mld violence,60,1982,68,80
Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85,80
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85,80
Teenage Mutant Ninja Turtles,PG,animated action violence some scary cartoon images and mild language,60,2007,NA,82
Bee Movie,PG,mild suggestive humor,60,2007,94,80
Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
Super Why!,TV-Y,Suitable for all ages.,10,2015,68,80
DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56,80
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,NA,82
DreamWorks Spooky Stories: Volume 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,NA,82
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
