DimGeography.CountryRegionCode,EnglishCountryRegionName,StateProvinceName,City,IpAddressLocator,Lookup.CountryRegionCode
AU,Australia,New South Wales,Alexandria,198.51.100.2,AU
AU,Australia,New South Wales,Coffs Harbour,198.51.100.3,AU
AU,Australia,New South Wales,Darlinghurst,198.51.100.4,AU
AU,Australia,New South Wales,Goulburn,198.51.100.5,AU
AU,Australia,New South Wales,Lane Cove,198.51.100.6,AU
AU,Australia,New South Wales,Lavender Bay,198.51.100.7,AU
AU,Australia,New South Wales,Malabar,198.51.100.8,AU
AU,Australia,New South Wales,Matraville,198.51.100.9,AU
AU,Australia,New South Wales,Milsons Point,198.51.100.10,AU
AU,Australia,New South Wales,Newcastle,198.51.100.11,AU
AU,Australia,New South Wales,North Ryde,198.51.100.12,AU
AU,Australia,New South Wales,North Sydney,198.51.100.13,AU
AU,Australia,New South Wales,Port Macquarie,198.51.100.14,AU
AU,Australia,New South Wales,Rhodes,198.51.100.15,AU
AU,Australia,New South Wales,Silverwater,198.51.100.16,AU
AU,Australia,New South Wales,Springwood,198.51.100.17,AU
AU,Australia,New South Wales,St. Leonards,198.51.100.18,AU
AU,Australia,New South Wales,Sydney,198.51.100.19,AU
AU,Australia,New South Wales,Wollongong,198.51.100.20,AU
AU,Australia,Queensland,Brisbane,198.51.100.21,AU
AU,Australia,Queensland,Caloundra,198.51.100.22,AU
AU,Australia,Queensland,East Brisbane,198.51.100.23,AU
AU,Australia,Queensland,Gold Coast,198.51.100.24,AU
AU,Australia,Queensland,Hawthorne,198.51.100.25,AU
AU,Australia,Queensland,Hervey Bay,198.51.100.26,AU
AU,Australia,Queensland,Rockhampton,198.51.100.27,AU
AU,Australia,Queensland,Townsville,198.51.100.28,AU
AU,Australia,South Australia,Cloverdale,198.51.100.29,AU
AU,Australia,South Australia,Findon,198.51.100.30,AU
AU,Australia,South Australia,Perth,198.51.100.31,AU
AU,Australia,Tasmania,Hobart,198.51.100.32,AU
AU,Australia,Victoria,Bendigo,198.51.100.33,AU
AU,Australia,Victoria,Cranbourne,198.51.100.34,AU
AU,Australia,Victoria,Geelong,198.51.100.35,AU
AU,Australia,Victoria,Melbourne,198.51.100.36,AU
AU,Australia,Victoria,Melton,198.51.100.37,AU
AU,Australia,Victoria,Seaford,198.51.100.38,AU
AU,Australia,Victoria,South Melbourne,198.51.100.39,AU
AU,Australia,Victoria,Sunbury,198.51.100.40,AU
AU,Australia,Victoria,Warrnambool,198.51.100.41,AU
CA,Canada,Alberta,Calgary,198.51.100.42,CA
CA,Canada,Alberta,Edmonton,198.51.100.43,CA
CA,Canada,British Columbia,Burnaby,198.51.100.44,CA
CA,Canada,British Columbia,Burnaby,198.51.100.45,CA
CA,Canada,British Columbia,Burnaby,198.51.100.46,CA
CA,Canada,British Columbia,Burnaby,198.51.100.47,CA
CA,Canada,British Columbia,Burnaby,198.51.100.48,CA
CA,Canada,British Columbia,Burnaby,198.51.100.49,CA
CA,Canada,British Columbia,Cliffside,198.51.100.50,CA
CA,Canada,British Columbia,Haney,198.51.100.51,CA
CA,Canada,British Columbia,Langford,198.51.100.52,CA
CA,Canada,British Columbia,Langley,198.51.100.53,CA
CA,Canada,British Columbia,Metchosin,198.51.100.54,CA
CA,Canada,British Columbia,N. Vancouver,198.51.100.55,CA
CA,Canada,British Columbia,Newton,198.51.100.56,CA
CA,Canada,British Columbia,Newton,198.51.100.57,CA
CA,Canada,British Columbia,Newton,198.51.100.58,CA
CA,Canada,British Columbia,Newton,198.51.100.59,CA
CA,Canada,British Columbia,Oak Bay,198.51.100.60,CA
CA,Canada,British Columbia,Port Hammond,198.51.100.61,CA
CA,Canada,British Columbia,Richmond,198.51.100.62,CA
CA,Canada,British Columbia,Royal Oak,198.51.100.63,CA
CA,Canada,British Columbia,Shawnee,198.51.100.64,CA
CA,Canada,British Columbia,Shawnee,198.51.100.65,CA
CA,Canada,British Columbia,Shawnee,198.51.100.66,CA
CA,Canada,British Columbia,Sooke,198.51.100.67,CA
CA,Canada,British Columbia,Surrey,198.51.100.68,CA
CA,Canada,British Columbia,Vancouver,198.51.100.69,CA
CA,Canada,British Columbia,Victoria,198.51.100.70,CA
CA,Canada,British Columbia,Westminster,198.51.100.71,CA
CA,Canada,British Columbia,Westminster,198.51.100.72,CA
CA,Canada,Manitoba,Winnipeg,198.51.100.73,CA
CA,Canada,Brunswick,Saint John,198.51.100.74,CA
CA,Canada,Ontario,Aurora,198.51.100.75,CA
CA,Canada,Ontario,Barrie,198.51.100.76,CA
CA,Canada,Ontario,Brampton,198.51.100.77,CA
CA,Canada,Ontario,Chalk Riber,198.51.100.78,CA
CA,Canada,Ontario,Etobicoke,198.51.100.79,CA
CA,Canada,Ontario,Kanata,198.51.100.80,CA
CA,Canada,Ontario,Kingston,198.51.100.81,CA
CA,Canada,Ontario,Markham,198.51.100.82,CA
CA,Canada,Ontario,Mississauga,198.51.100.83,CA
CA,Canada,Ontario,Mississauga,198.51.100.84,CA
CA,Canada,Ontario,Mississauga,198.51.100.85,CA
CA,Canada,Ontario,Nepean,198.51.100.86,CA
CA,Canada,Ontario,North York,198.51.100.87,CA
CA,Canada,Ontario,Ottawa,198.51.100.88,CA
CA,Canada,Ontario,Ottawa,198.51.100.89,CA
CA,Canada,Ontario,Ottawa,198.51.100.90,CA
CA,Canada,Ontario,Ottawa,198.51.100.91,CA
CA,Canada,Ontario,Richmond Hill,198.51.100.92,CA
CA,Canada,Ontario,Scarborough,198.51.100.93,CA
