EnglishProductName,Color,EnglishDescription,ListPrice
"Women's Mountain Shorts, L",Black,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",69.99
Water Bottle - 30 oz.,NA,AWC logo water bottle - holds 30 oz; leak-proof.,4.99
Mountain Bottle Cage,NA,Tough aluminum cage holds bottle securly on tough terrain.,9.99
Road Bottle Cage,NA,Aluminum cage is lighter than our mountain version; perfect for long distance trips.,8.99
Patch Kit/8 Patches,NA,"Includes 8 different size patches, glue and sandpaper.",2.29
"Racing Socks, M",White,"Thin, lightweight and durable with cuffs that stay up.",8.99
"Racing Socks, L",White,"Thin, lightweight and durable with cuffs that stay up.",8.99
Hitch Rack - 4-Bike,NA,"Carries 4 bikes securely; steel construction, fits 2"" receiver hitch.",120
Bike Wash - Dissolver,NA,"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle.",7.95
Fender Set - Mountain,NA,Clip-on fenders fit most mountain bikes.,21.98
All-Purpose Bike Stand,NA,Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.,159
Hydration Pack - 70 oz.,Silver,"Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt.",54.99
"Short-Sleeve Classic Jersey, S",Yellow,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",53.99
"Short-Sleeve Classic Jersey, M",Yellow,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",53.99
"Short-Sleeve Classic Jersey, L",Yellow,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",53.99
"Short-Sleeve Classic Jersey, XL",Yellow,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",53.99
"HL Touring Frame - Yellow, 60",Yellow,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,1003.91
